domain,prompt_id,acc_mean,acc_std,f1_mean,f1_std,auroc_mean,auroc_std
ccnews,P0_baseline,0.764125,0.011800570843066127,0.7724920937061464,0.011517915058170855,0.84145625,0.01232301722275118
ccnews,P1_fluency,0.7722499999999999,0.012116334245783887,0.7769951763001153,0.012592467692367347,0.8451775000000001,0.010791714607358107
ccnews,P2_synonym,0.74725,0.014693630517260792,0.7521262722725451,0.014103868811817707,0.82336625,0.013330401109869106
ccnews,P3_restructure,0.7207500000000001,0.012572014777097414,0.7231902105917707,0.013472354973640856,0.7899624999999999,0.014270974755990255
ccnews,P4_formal,0.792375,0.0049458877419079625,0.7948754144437601,0.005411721378245053,0.870019375,0.0033992473252871963
ccnews,P5_concise,0.720375,0.0107698460218024,0.7321351298081289,0.012662680599397264,0.7758368749999999,0.014445298954758963
ccnews,P6_no_length,0.72025,0.015820169966779065,0.7276259955320505,0.016057700300910277,0.7933537500000001,0.011005007225248824
squad,P0_baseline,0.7241250000000001,0.015601927409422497,0.725537028515445,0.01729975244435793,0.8030462500000001,0.011071331299175865
squad,P1_fluency,0.664875,0.012139953551073493,0.6663980750361762,0.012147570686735231,0.7187206250000001,0.009703213980178892
squad,P2_synonym,0.5713750000000001,0.016545916750398282,0.5780199685397822,0.019377985321934903,0.6087356249999999,0.016936092615267444
squad,P3_restructure,0.7146250000000001,0.014056557386343064,0.7105770479806985,0.0141717535072971,0.787695625,0.01544324793183183
squad,P4_formal,0.695375,0.018295889793429946,0.6989766356774822,0.019647964546650437,0.762129375,0.01639505770348781
squad,P5_concise,0.72875,0.013781529507117687,0.7295004692778579,0.016594468895557588,0.799571875,0.010882063578462274
squad,P6_no_length,0.71325,0.011802777450903471,0.7152729216611642,0.012598765612946147,0.7825,0.012063879454802213
