Domain,Rewriter,#Prompts,F1_range_across_prompts,F1_std_across_prompts,F1_top1_change_rate,F1_oracle_gap,F1_avg_pairwise_corr,F1_friedman_p,Acc_range_across_prompts,Acc_std_across_prompts,Acc_top1_change_rate,Acc_oracle_gap,Acc_avg_pairwise_corr,Acc_friedman_p,PromptDir
Arxiv,deepseek,7,0.044548524866589,0.017196398284867853,0.7,0.017625816619897372,0.47939594839139893,0.22127965838415606,0.04142857142857159,0.01492530804418458,0.7,0.01857142857142835,0.32663888197604607,0.025922164454735372,E:\jnu\Final_thesis\实验\Raidar\RaidarLLMDetect\outputs\10seed测试\prompt_sensitivity\Arxiv\deepseek
Arxiv,repo,7,0.074796299736833,0.02611529761299013,0.4,0.015264078482175147,0.07559289690703701,0.0005693377167074609,0.0814285714285714,0.02779821081978732,0.4,0.00928571428571412,0.06559552843124176,7.725801663073616e-05,E:\jnu\Final_thesis\实验\Raidar\RaidarLLMDetect\outputs\10seed测试\prompt_sensitivity\Arxiv\repo
Code,deepseek,5,0.07761883315361151,0.0308922674277071,0.30000000000000004,0.015737958462218482,0.4399531392771957,0.027541061029938845,0.07272727272727264,0.030929137884007224,0.30000000000000004,0.00909090909090915,0.3491407198241001,0.007872841563442458,E:\jnu\Final_thesis\实验\Raidar\RaidarLLMDetect\outputs\10seed测试\prompt_sensitivity\Code\deepseek
Code,repo,5,0.05649484273275418,0.02149831064882325,0.4,0.004857432161536779,0.6795135762629101,2.1714204276868515e-05,0.054545454545454675,0.02086842774145598,0.4,0.004545454545454519,0.646047242497773,1.983000384761931e-05,E:\jnu\Final_thesis\实验\Raidar\RaidarLLMDetect\outputs\10seed测试\prompt_sensitivity\Code\repo
Yelp,deepseek,7,0.098866881270259,0.03354403380700917,0.19999999999999996,0.0020514678840966027,0.22884162924969437,4.104703366004161e-06,0.09135802469135812,0.03363246795419905,0.30000000000000004,0.0006172839506172201,0.3188400358510062,6.379036833378384e-06,E:\jnu\Final_thesis\实验\Raidar\RaidarLLMDetect\outputs\10seed测试\prompt_sensitivity\Yelp\deepseek
Yelp,repo,7,0.06011506774354114,0.021522820097700568,0.4,0.013477709425592455,0.19729144259307305,3.544630428114037e-05,0.06851851851851865,0.023065991773267024,0.30000000000000004,0.00864197530864197,0.25254847240077416,3.017476832652379e-05,E:\jnu\Final_thesis\实验\Raidar\RaidarLLMDetect\outputs\10seed测试\prompt_sensitivity\Yelp\repo
